Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
collect_SC,240,40,7864320,3145728,5,750,128
spill_SC,2029,40,7864320,3145728,5,750,128
merge_SC,9,40,7864320,3145728,5,750,128
write_SC,515,40,7864320,3145728,5,750,128
shuffle_SC,1201,40,7864320,3145728,5,750,128
read_SC,1427,40,7864320,3145728,5,750,128
collect_SC,186,40,7864320,3145728,5,750,128
spill_SC,2079,40,7864320,3145728,5,750,128
merge_SC,8,40,7864320,3145728,5,750,128
read_SC,1433,40,7864320,3145728,5,750,128
collect_SC,232,40,7864320,3145728,5,750,128
spill_SC,1991,40,7864320,3145728,5,750,128
merge_SC,8,40,7864320,3145728,5,750,128
write_SC,474,40,7864320,3145728,5,750,128
shuffle_SC,1208,40,7864320,3145728,5,750,128
write_SC,501,40,7864320,3145728,5,750,128
shuffle_SC,1192,40,7864320,3145728,5,750,128
write_SC,481,40,7864320,3145728,5,750,128
shuffle_SC,1225,40,7864320,3145728,5,750,128
write_SC,516,40,7864320,3145728,5,750,128
shuffle_SC,1208,40,7864320,3145728,5,750,128
write_SC,482,40,7864320,3145728,5,750,128
shuffle_SC,1210,40,7864320,3145728,5,750,128
write_SC,484,40,7864320,3145728,5,750,128
shuffle_SC,1215,40,7864320,3145728,5,750,128
write_SC,497,40,7864320,3145728,5,750,128
shuffle_SC,1183,40,7864320,3145728,5,750,128
read_SC,1354,50,7864320,3932160,5,750,128
collect_SC,235,50,7864320,3932160,5,750,128
spill_SC,2562,50,7864320,3932160,5,750,128
merge_SC,8,50,7864320,3932160,5,750,128
read_SC,1379,50,7864320,3932160,5,750,128
collect_SC,303,50,7864320,3932160,5,750,128
spill_SC,2768,50,7864320,3932160,5,750,128
merge_SC,8,50,7864320,3932160,5,750,128
read_SC,1239,50,7864320,3932160,5,750,128
collect_SC,262,50,7864320,3932160,5,750,128
spill_SC,2648,50,7864320,3932160,5,750,128
merge_SC,9,50,7864320,3932160,5,750,128
read_SC,1270,50,7864320,3932160,5,750,128
collect_SC,260,50,7864320,3932160,5,750,128
spill_SC,2689,50,7864320,3932160,5,750,128
merge_SC,9,50,7864320,3932160,5,750,128
read_SC,1474,50,7864320,3932160,5,750,128
collect_SC,252,50,7864320,3932160,5,750,128
spill_SC,2732,50,7864320,3932160,5,750,128
merge_SC,7,50,7864320,3932160,5,750,128
read_SC,1350,50,7864320,3932160,5,750,128
collect_SC,279,50,7864320,3932160,5,750,128
spill_SC,2659,50,7864320,3932160,5,750,128
merge_SC,10,50,7864320,3932160,5,750,128
write_SC,2544,50,7864320,3932160,5,750,128
shuffle_SC,1425,50,7864320,3932160,5,750,128
write_SC,2553,50,7864320,3932160,5,750,128
shuffle_SC,1406,50,7864320,3932160,5,750,128
write_SC,784,50,7864320,3932160,5,750,128
shuffle_SC,1404,50,7864320,3932160,5,750,128
write_SC,718,50,7864320,3932160,5,750,128
shuffle_SC,1422,50,7864320,3932160,5,750,128
write_SC,579,50,7864320,3932160,5,750,128
shuffle_SC,1412,50,7864320,3932160,5,750,128
write_SC,482,50,7864320,3932160,5,750,128
shuffle_SC,1404,50,7864320,3932160,5,750,128
write_SC,929,50,7864320,3932160,5,750,128
shuffle_SC,1407,50,7864320,3932160,5,750,128
write_SC,547,50,7864320,3932160,5,750,128
shuffle_SC,1446,50,7864320,3932160,5,750,128
write_SC,1307,60,7864320,4718592,5,750,128
shuffle_SC,1596,60,7864320,4718592,5,750,128
read_SC,1313,60,7864320,4718592,5,750,128
collect_SC,342,60,7864320,4718592,5,750,128
spill_SC,3108,60,7864320,4718592,5,750,128
merge_SC,1859,60,7864320,4718592,5,750,128
read_SC,1403,60,7864320,4718592,5,750,128
collect_SC,355,60,7864320,4718592,5,750,128
spill_SC,3077,60,7864320,4718592,5,750,128
merge_SC,1851,60,7864320,4718592,5,750,128
read_SC,1579,60,7864320,4718592,5,750,128
collect_SC,333,60,7864320,4718592,5,750,128
spill_SC,3434,60,7864320,4718592,5,750,128
merge_SC,1849,60,7864320,4718592,5,750,128
read_SC,1347,60,7864320,4718592,5,750,128
collect_SC,311,60,7864320,4718592,5,750,128
spill_SC,3330,60,7864320,4718592,5,750,128
merge_SC,1841,60,7864320,4718592,5,750,128
read_SC,1442,60,7864320,4718592,5,750,128
collect_SC,336,60,7864320,4718592,5,750,128
spill_SC,3346,60,7864320,4718592,5,750,128
merge_SC,1816,60,7864320,4718592,5,750,128
write_SC,1230,60,7864320,4718592,5,750,128
shuffle_SC,1637,60,7864320,4718592,5,750,128
write_SC,722,60,7864320,4718592,5,750,128
shuffle_SC,1604,60,7864320,4718592,5,750,128
write_SC,696,60,7864320,4718592,5,750,128
shuffle_SC,1598,60,7864320,4718592,5,750,128
write_SC,1262,60,7864320,4718592,5,750,128
shuffle_SC,1630,60,7864320,4718592,5,750,128
write_SC,1312,60,7864320,4718592,5,750,128
shuffle_SC,1611,60,7864320,4718592,5,750,128
write_SC,590,60,7864320,4718592,5,750,128
shuffle_SC,1611,60,7864320,4718592,5,750,128
write_SC,611,60,7864320,4718592,5,750,128
shuffle_SC,1577,60,7864320,4718592,5,750,128
read_SC,1248,60,7864320,4718592,5,750,128
collect_SC,340,60,7864320,4718592,5,750,128
spill_SC,3060,60,7864320,4718592,5,750,128
merge_SC,1849,60,7864320,4718592,5,750,128
write_SC,691,70,7864320,5505024,5,750,128
shuffle_SC,1793,70,7864320,5505024,5,750,128
write_SC,691,70,7864320,5505024,5,750,128
shuffle_SC,1755,70,7864320,5505024,5,750,128
